10;10000;15000;13015;9310;6236;SA
11;10000;15000;10472;9848;5456;SA
12;10000;15000;9085;8458;6500;SA
13;10000;15000;12438;11648;4536;SA
14;10000;15000;9276;8581;6381;SA
15;10000;15000;9001;8746;4637;SA
16;10000;15000;12070;9313;7737;SA
17;10000;15000;12406;10365;4969;SA
18;10000;15000;11392;9107;5132;SA
19;10000;15000;9880;9472;5777;SA
20;10000;25000;4828;4157;6062;SA
21;10000;25000;5033;4180;6268;SA
22;10000;25000;6038;3916;5236;SA
23;10000;25000;4764;4207;7908;SA
24;10000;25000;4811;3997;7390;SA
25;10000;25000;5532;2481;9508;SA
26;10000;25000;4703;2876;6284;SA
27;10000;25000;4980;3166;7496;SA
28;10000;25000;3708;3585;9434;SA
29;10000;25000;5859;4292;6027;SA
30;10000;50000;3185;2078;4262;SA
31;10000;50000;4468;2031;6954;SA
32;10000;50000;3930;1564;8189;SA
33;10000;50000;2565;1314;6345;SA
34;10000;50000;3134;1125;9225;SA
35;10000;50000;2342;1240;3884;SA
36;10000;50000;2521;1879;3558;SA
37;10000;50000;3530;1265;8483;SA
38;10000;50000;2376;2050;5136;SA
39;10000;50000;4611;2091;6683;SA
40;10000;75000;3207;1057;6820;SA
41;10000;75000;2593;580;6201;SA
42;10000;75000;2919;1143;6798;SA
43;10000;75000;2628;947;5116;SA
44;10000;75000;2512;1177;8716;SA
45;10000;75000;2920;1222;4762;SA
46;10000;75000;2881;1145;8116;SA
47;10000;75000;3689;1384;7756;SA
48;10000;75000;3223;1246;6218;SA
49;10000;75000;2378;1218;173;SA
50;10000;100000;1979;663;4119;SA
51;10000;100000;3934;975;8859;SA
52;10000;100000;1898;950;3497;SA
53;10000;100000;1685;725;4539;SA
54;10000;100000;2997;846;2822;SA
55;10000;100000;2142;633;8931;SA
56;10000;100000;1823;655;4436;SA
57;10000;100000;2866;596;8355;SA
58;10000;100000;2339;871;3682;SA
59;10000;100000;2082;693;6282;SA
60;10000;150000;1485;390;6374;SA
61;10000;150000;3069;458;8674;SA
62;10000;150000;2603;708;4995;SA
63;10000;150000;1911;307;9576;SA
64;10000;150000;3095;513;6289;SA
65;10000;150000;3787;368;4126;SA
66;10000;150000;3636;686;3446;SA
67;10000;150000;2512;538;8244;SA
68;10000;150000;1714;421;8846;SA
69;10000;150000;3178;624;9002;SA
70;10000;200000;3611;420;5025;SA
71;10000;200000;3195;392;5418;SA
72;10000;200000;2244;467;7869;SA
73;10000;200000;2550;269;3148;SA
74;10000;200000;2143;415;4489;SA
75;10000;200000;2317;277;5239;SA
76;10000;200000;1460;306;6486;SA
77;10000;200000;3545;73;8998;SA
78;10000;200000;1452;242;3626;SA
79;10000;200000;2713;263;5171;SA
80;20000;30000;14641;13522;14539;SA
81;20000;30000;15179;14691;18148;SA
82;20000;30000;13645;13315;14625;SA
83;20000;30000;11834;9376;15038;SA
84;20000;30000;13401;12620;15090;SA
85;20000;30000;12385;11135;16580;SA
86;20000;30000;12132;10702;13569;SA
87;20000;30000;13109;12869;13644;SA
88;20000;30000;17588;15820;16078;SA
89;20000;30000;14464;13816;15351;SA
90;20000;50000;4759;4367;17479;SA
91;20000;50000;6605;5420;13572;SA
92;20000;50000;6408;4606;15774;SA
93;20000;50000;6375;4626;18831;SA
94;20000;50000;6877;4559;19479;SA
95;20000;50000;8040;5944;13245;SA
96;20000;50000;6157;4923;15938;SA
97;20000;50000;7455;5833;19387;SA
98;20000;50000;5922;4487;17878;SA
99;20000;50000;5881;4785;18490;SA
100;20000;100000;4369;2251;14998;SA
101;20000;100000;2965;1940;15601;SA
102;20000;100000;3648;2335;18465;SA
